title,author,first_published,original_language,edition_language,publisher,edition,period,primary_movement,secondary_movements,notes,format
Great Expectations,Charles Dickens,1861,English,English,,,Victorian / 19th century,Realism,,,ebook
"Harlem Shuffle (The Harlem Trilogy, Book 1)",Colson Whitehead,2021,English,English,,,Contemporary,Crime fiction,Contemporary literary fiction,,ebook
"Heaven's Prisoners (Dave Robicheaux, Book 2)",James Lee Burke,1988,English,English,,,Postwar / late 20th century,Crime fiction,,,ebook
His Bloody Project,Graeme Macrae Burnet,2015,English,English,,,Contemporary,Crime fiction,Metafiction,,ebook
I Could Murder Her,E. C. R. Lorac,1951,English,English,,,Postwar / late 20th century,Crime fiction,,,ebook
"Imperium (Cicero Trilogy, Book 1)",Robert Harris,2006,English,English,,,Contemporary,Realism,,Historical novel,ebook
"In the Woods (Dublin Murder Squad, Book 1)",Tana French,2007,English,English,,,Contemporary,Crime fiction,,,ebook
Ironwood,Michael Connelly,2025,English,English,,,Contemporary,Crime fiction,,,ebook
Just One Look,Harlan Coben,2004,English,English,,,Contemporary,Crime fiction,,,ebook
"Kittyhawk Down (Challis & Destry, Book 2)",Garry Disher,2003,English,English,,,Contemporary,Crime fiction,,,ebook
Leutnant Gustl (German Edition),Arthur Schnitzler,1900,German,German,,,Modernist / early 20th century,Stream of consciousness,,Novella,ebook
"Links (Past Imperfect Trilogy, Book 1)",Nuruddin Farah,2003,English,English,,,Contemporary,Postcolonial literature,,,ebook
Mason & Dixon,Thomas Pynchon,1997,English,English,,,Postwar / late 20th century,Postmodernism,,,ebook
Missing You,Harlan Coben,2014,English,English,,,Contemporary,Crime fiction,,,ebook
Mrs. Dalloway,Virginia Woolf,1925,English,English,,,Modernist / early 20th century,Modernism,Stream of consciousness,,ebook
My Name Is Lucy Barton,Elizabeth Strout,2016,English,English,,,Contemporary,Contemporary literary fiction,,,ebook
Never,Ken Follett,2021,English,English,,,Contemporary,Crime fiction,,,ebook
Nightfall in Mogadishu,Veronica Li,2023,English,English,,,Contemporary,Contemporary literary fiction,,,ebook
Nightshade,Michael Connelly,2025,English,English,,,Contemporary,Crime fiction,,,ebook
No Second Chance,Harlan Coben,2003,English,English,,,Contemporary,Crime fiction,,,ebook
North and South,Elizabeth Gaskell,1855,English,English,,,Victorian / 19th century,Realism,,,ebook
Our Mutual Friend,Charles Dickens,1865,English,English,Penguin Classics,,Victorian / 19th century,Realism,,,ebook
"Outline (Outline Trilogy, Book 1)",Rachel Cusk,2014,English,English,,,Contemporary,Autofiction,,,ebook
"Peace (Paul Hirsch, Book 2)",Garry Disher,2019,English,English,,,Contemporary,Crime fiction,,,ebook
Perfection,Vincenzo Latronico,2022,Italian,English,,,Contemporary,Contemporary literary fiction,,,ebook
Pietr the Latvian (Inspector Maigret),Georges Simenon,1931,French,English,Penguin Classics,,Modernist / early 20th century,Crime fiction,,,ebook
Pride and Prejudice,Jane Austen,1813,English,English,,,Romantic,Realism,,,ebook
Radetzkymarsch (German Edition),Joseph Roth,1932,German,German,,,Modernist / early 20th century,Modernism,,,ebook
"Real Tigers (Slough House, Book 3)",Mick Herron,2016,English,English,,,Contemporary,Crime fiction,,,ebook
Run Away,Harlan Coben,2019,English,English,,,Contemporary,Crime fiction,,,ebook
Six Years,Harlan Coben,2013,English,English,,,Contemporary,Crime fiction,,,ebook
Slaughterhouse-Five,Kurt Vonnegut,1969,English,English,,,Postwar / late 20th century,Postmodernism,Science fiction,,ebook
"Slow Horses (Slough House, Book 1)",Mick Herron,2010,English,English,,,Contemporary,Crime fiction,,,ebook
Small Boat,Vincent Delecroix,2020,French,English,,,Contemporary,Contemporary literary fiction,,,ebook
Song of Solomon,Toni Morrison,1977,English,English,,,Postwar / late 20th century,Magical realism,,,ebook
"Spook Street (Slough House, Book 4)",Mick Herron,2017,English,English,,,Contemporary,Crime fiction,,,ebook
The Anomaly,Hervé Le Tellier,2020,French,English,,,Contemporary,Contemporary literary fiction,Science fiction,,ebook
The Appeal,Janice Hallett,2021,English,English,,,Contemporary,Crime fiction,,,ebook
The Big Sleep,Raymond Chandler,1939,English,English,,,Modernist / early 20th century,Crime fiction,,,ebook
"The Black Box (Harry Bosch, Book 16)",Michael Connelly,2012,English,English,,,Contemporary,Crime fiction,,,ebook
"The Black Dahlia (L.A. Quartet, Book 1)",James Ellroy,1987,English,English,,,Postwar / late 20th century,Crime fiction,,,ebook
"The Blackhouse (The Lewis Trilogy, Book 1)",Peter May,2009,English,English,,,Contemporary,Crime fiction,,,ebook
The Boy from the Woods,Harlan Coben,2020,English,English,,,Contemporary,Crime fiction,,,ebook
"The Bullet That Missed (Thursday Murder Club, Book 3)",Richard Osman,2022,English,English,,,Contemporary,Crime fiction,,,ebook
"The Burning Room (Harry Bosch, Book 17)",Michael Connelly,2014,English,English,,,Contemporary,Crime fiction,,,ebook
The Cartel,Don Winslow,2015,English,English,,,Contemporary,Crime fiction,,,ebook
The Casual Vacancy,J. K. Rowling,2012,English,English,,,Contemporary,Contemporary literary fiction,,,ebook
The Circle,Dave Eggers,2013,English,English,,,Contemporary,Dystopian fiction,Science fiction,,ebook
The Complete Father Brown Mysteries,G. K. Chesterton,1911,English,English,,,Modernist / early 20th century,Crime fiction,,Short stories,ebook
The Complete Sherlock Holmes,Arthur Conan Doyle,1887,English,English,,,Victorian / 19th century,Crime fiction,,Collected,ebook
"The Confessor (Gabriel Allon, Book 3)",Daniel Silva,2003,English,English,,,Contemporary,Crime fiction,,,ebook
The Crossing (Harry Bosch),Michael Connelly,2015,English,English,,,Contemporary,Crime fiction,,,ebook
"The Crowded Grave (The Dordogne Mysteries, Book 4)",Martin Walker,2011,English,English,,,Contemporary,Crime fiction,,,ebook
"The Cuckoo's Calling (Cormoran Strike, Book 1)",Robert Galbraith,2013,English,English,,,Contemporary,Crime fiction,,,ebook
"The Devil's Cave (The Dordogne Mysteries, Book 5)",Martin Walker,2012,English,English,,,Contemporary,Crime fiction,,,ebook
"The Dragon Man (Challis & Destry, Book 1)",Garry Disher,1999,English,English,,,Postwar / late 20th century,Crime fiction,,,ebook
The Dry,Jane Harper,2016,English,English,,,Contemporary,Crime fiction,,,ebook
"The Dying Season (The Dordogne Mysteries, Book 8)",Martin Walker,2016,English,English,,,Contemporary,Crime fiction,,,ebook
"The English Assassin (Gabriel Allon, Book 2)",Daniel Silva,2002,English,English,,,Contemporary,Crime fiction,,,ebook
The Enigma of Room 622,Joël Dicker,2020,French,English,,,Contemporary,Crime fiction,Metafiction,,ebook
The Farm,Tom Rob Smith,2014,English,English,,,Contemporary,Crime fiction,,,ebook
The Fourth Protocol,Frederick Forsyth,1984,English,English,,,Postwar / late 20th century,Crime fiction,,,ebook
The Great Gatsby,F. Scott Fitzgerald,1925,English,English,,,Modernist / early 20th century,Modernism,Lost Generation,,ebook
The Guest List,Lucy Foley,2020,English,English,,,Contemporary,Crime fiction,,,ebook
"The Honjin Murders (Detective Kindaichi, Book 1)",Seishi Yokomizo,1946,Japanese,English,,,Postwar / late 20th century,Crime fiction,,,ebook
"The Kill Artist (Gabriel Allon, Book 1)",Daniel Silva,2000,English,English,,,Contemporary,Crime fiction,,,ebook
The Killer Question,Janice Hallett,2024,English,English,,,Contemporary,Crime fiction,,,ebook
"The Late Show (Renée Ballard, Book 1)",Michael Connelly,2017,English,English,,,Contemporary,Crime fiction,,,ebook
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,1759,English,English,,,Enlightenment / Neoclassical,Satire,Metafiction,,ebook
The Lover,Marguerite Duras,1984,French,English,Harper Perennial,,Postwar / late 20th century,Autofiction,Nouveau Roman,,ebook
"The Man Who Died Twice (Thursday Murder Club, Book 2)",Richard Osman,2021,English,English,,,Contemporary,Crime fiction,,,ebook
The Marlow Murder Club (Book 1),Robert Thorogood,2021,English,English,,,Contemporary,Crime fiction,,,ebook
The Moonstone,Wilkie Collins,1868,English,English,,,Victorian / 19th century,Crime fiction,Gothic,,ebook
"The Murder of Roger Ackroyd (Hercule Poirot, Book 4)",Agatha Christie,1926,English,English,,,Modernist / early 20th century,Crime fiction,,,ebook
The Murders at Fleat House,Lucinda Riley,2022,English,English,,,Contemporary,Crime fiction,,,ebook
The Night Fire (Ballard & Bosch),Michael Connelly,2019,English,English,,,Contemporary,Crime fiction,,,ebook
The Odyssey,Homer,-700,Greek,English,,,Classical / Antiquity,Epic poetry,,,ebook
The Palace of Dreams,Ismail Kadare,1981,Albanian,English,Vintage Classics,,Postwar / late 20th century,Postmodernism,,,ebook
The Passenger,Cormac McCarthy,2022,English,English,,,Contemporary,Postmodernism,,,ebook
"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim; Kevin Behr; George Spafford,2013,English,English,,,Contemporary,Contemporary literary fiction,,Business novel,ebook
The Pickwick Papers,Charles Dickens,1837,English,English,,,Victorian / 19th century,Realism,Satire,,ebook
"The Poet (Jack McEvoy, Book 1)",Michael Connelly,1996,English,English,,,Postwar / late 20th century,Crime fiction,,,ebook
The Power of the Dog,Don Winslow,2005,English,English,,,Contemporary,Crime fiction,,,ebook
The President Is Missing,Bill Clinton; James Patterson,2018,English,English,,,Contemporary,Crime fiction,,,ebook
"The Queen of Poisons (The Marlow Murder Club, Book 3)",Robert Thorogood,2024,English,English,,,Contemporary,Crime fiction,,,ebook
"The Resistance Man (The Dordogne Mysteries, Book 6)",Martin Walker,2013,English,English,,,Contemporary,Crime fiction,,,ebook
"The Scarecrow (Jack McEvoy, Book 2)",Michael Connelly,2009,English,English,,,Contemporary,Crime fiction,,,ebook
"The Shadow of the Wind (The Cemetery of Forgotten Books, Book 1)",Carlos Ruiz Zafón,2001,Spanish,English,,,Contemporary,Gothic,Magical realism,,ebook
"The Short Drop (Gibson Vaughn, Book 1)",Matthew FitzSimmons,2015,English,English,,,Contemporary,Crime fiction,,,ebook
The Silent Patient,Alex Michaelides,2019,English,English,,,Contemporary,Crime fiction,,,ebook
"The Spy Who Came in from the Cold (George Smiley, Book 3)",John le Carré,1963,English,English,,,Postwar / late 20th century,Crime fiction,,,ebook
The Stone Raft,José Saramago,1986,Portuguese,English,,,Postwar / late 20th century,Magical realism,,,ebook
The Stranger,Albert Camus,1942,French,English,,,Modernist / early 20th century,Existentialism,,,ebook
The Thursday Murder Club (Book 1),Richard Osman,2020,English,English,,,Contemporary,Crime fiction,,,ebook
The Traitor's Story,Kevin Wignall,2016,English,English,,,Contemporary,Crime fiction,,,ebook
The Truth About the Harry Quebert Affair,Joël Dicker,2012,French,English,,,Contemporary,Crime fiction,Metafiction,,ebook
The Twyford Code,Janice Hallett,2022,English,English,,,Contemporary,Crime fiction,Metafiction,,ebook
The Waiting (Ballard & Bosch),Michael Connelly,2024,English,English,,,Contemporary,Crime fiction,,,ebook
The Waiting Years,Fumiko Enchi,1957,Japanese,English,Vintage Classics,,Postwar / late 20th century,Realism,,,ebook
The Woman in the Window,A. J. Finn,2018,English,English,,,Contemporary,Crime fiction,,,ebook
"The Wrong Side of Goodbye (Harry Bosch, Book 19)",Michael Connelly,2016,English,English,,,Contemporary,Crime fiction,,,ebook
"Things Fall Apart (The African Trilogy, Book 1)",Chinua Achebe,1958,English,English,,,Postwar / late 20th century,Postcolonial literature,,,ebook
"Thirteen (Eddie Flynn, Book 4)",Steve Cavanagh,2018,English,English,,,Contemporary,Crime fiction,,,ebook
This Is How I Lied,Heather Gudenkauf,2020,English,English,,,Contemporary,Crime fiction,,,ebook
Tinker Tailor Soldier Spy,John le Carré,1974,English,English,Penguin Classics,,Postwar / late 20th century,Crime fiction,,,ebook
Tokyo Express,Seichō Matsumoto,1958,Japanese,English,Penguin Classics,,Postwar / late 20th century,Crime fiction,,,ebook
Traumnovelle (German Edition),Arthur Schnitzler,1926,German,German,,,Modernist / early 20th century,Modernism,,Novella,ebook
Tristram Shandy,Laurence Sterne,1759,English,English,William Collins,,Enlightenment / Neoclassical,Satire,Metafiction,,ebook
Two Kinds of Truth (Harry Bosch),Michael Connelly,2017,English,English,,,Contemporary,Crime fiction,,,ebook
Ulysses (Illustrated),James Joyce,1922,English,English,,,Modernist / early 20th century,Modernism,Stream of consciousness,,ebook
Ulysses (Prometheus Classics),James Joyce,1922,English,English,,,Modernist / early 20th century,Modernism,Stream of consciousness,,ebook
War and Peace,Leo Tolstoy,1869,Russian,English,,,Victorian / 19th century,Realism,,,ebook
We Solve Murders,Richard Osman,2024,English,English,,,Contemporary,Crime fiction,,,ebook
What We Can Know,Ian McEwan,2025,English,English,,,Contemporary,Contemporary literary fiction,,,ebook
"Whose Body? (Lord Peter Wimsey, Book 1)",Dorothy L. Sayers,1923,English,English,,,Modernist / early 20th century,Crime fiction,,,ebook
Wuthering Heights,Emily Brontë,1847,English,English,,,Victorian / 19th century,Gothic,Romanticism,,ebook
