title,author,first_published,original_language,edition_language,publisher,edition,period,primary_movement,secondary_movements,notes
Forbrytelse og straff,Fjodor Dostojevskij,1866,Russian,Norwegian,Solum,,Victorian / 19th century,Realism,,Crime and Punishment
Brødrene Karamasov,Fjodor Dostojevskij,1880,Russian,Norwegian,Solum,,Victorian / 19th century,Realism,,The Brothers Karamazov
Our Mutual Friend,Charles Dickens,1865,English,English,Chapman & Hall,,Victorian / 19th century,Realism,,Antique 2-volume edition; also owned in Everyman's Library
Barnaby Rudge,Charles Dickens,1841,English,English,Everyman's Library,,Victorian / 19th century,Realism,,
The Mystery of Edwin Drood,Charles Dickens,1870,English,English,Everyman's Library,,Victorian / 19th century,Realism,,
Martin Chuzzlewit,Charles Dickens,1844,English,English,Everyman's Library,,Victorian / 19th century,Realism,,
The Old Curiosity Shop,Charles Dickens,1841,English,English,Everyman's Library,,Victorian / 19th century,Realism,,
The Pickwick Papers,Charles Dickens,1837,English,English,Everyman's Library,,Victorian / 19th century,Realism,,
Dombey and Son,Charles Dickens,1848,English,English,Everyman's Library,,Victorian / 19th century,Realism,,
Little Dorrit,Charles Dickens,1857,English,English,Everyman's Library,,Victorian / 19th century,Realism,,
David Copperfield,Charles Dickens,1850,English,English,Everyman's Library,,Victorian / 19th century,Realism,,
Bleak House,Charles Dickens,1853,English,English,Everyman's Library,,Victorian / 19th century,Realism,,
Our Mutual Friend,Charles Dickens,1865,English,English,Everyman's Library,,Victorian / 19th century,Realism,,Everyman's edition; also owned in antique Chapman & Hall edition
Nicholas Nickleby,Charles Dickens,1838,English,English,Everyman's Library,,Victorian / 19th century,Realism,,
Oliver Twist,Charles Dickens,1838,English,English,Everyman's Library,,Victorian / 19th century,Realism,,
Kniven på strupen,Kjartan Fløgstad,1991,Norwegian,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,
Fimbul,Kjartan Fløgstad,1994,Norwegian,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,
Grense Jakobselv,Kjartan Fløgstad,2009,Norwegian,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,
Due og drone,Kjartan Fløgstad,2019,Norwegian,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,
Grand Manila,Kjartan Fløgstad,2006,Norwegian,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,Magical realism,
Magdalenafjorden,Kjartan Fløgstad,1997,Norwegian,Norwegian,Gyldendal,,Postwar / late 20th century,Contemporary literary fiction,,
Nordaustpassasjen,Kjartan Fløgstad,2012,Norwegian,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,
Paradis på jord,Kjartan Fløgstad,2002,Norwegian,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,
U3,Kjartan Fløgstad,1983,Norwegian,Norwegian,Gyldendal,,Postwar / late 20th century,Contemporary literary fiction,,
Kron og mynt,Kjartan Fløgstad,1998,Norwegian,Norwegian,Gyldendal,,Postwar / late 20th century,Contemporary literary fiction,,Published as Aa. Aavaath
Etterliv,Abdulrazak Gurnah,2020,English,Norwegian,Gyldendal,,Contemporary,Postcolonial literature,,Afterlives
I krabbegang,Günter Grass,2002,German,Norwegian,Gyldendal,,Contemporary,Postmodernism,,Crabwalk
Alle dagers ende,Jenny Erpenbeck,2012,German,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,The End of Days
"Går, gikk, har gått",Jenny Erpenbeck,2015,German,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,"Go, Went, Gone"
Kairos,Jenny Erpenbeck,2021,German,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,
Det gamle barnet,Jenny Erpenbeck,1999,German,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,The Old Child
Ordbok,Jenny Erpenbeck,2004,German,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,The Book of Words
Middlemarch,George Eliot,1871,English,English,The Folio Society,,Victorian / 19th century,Realism,,
Silas Marner,George Eliot,1861,English,English,,,Victorian / 19th century,Realism,,
The Great Gatsby,F. Scott Fitzgerald,1925,English,English,,,Modernist / early 20th century,Modernism,Lost Generation,
The Sound and the Fury,William Faulkner,1929,English,English,Everyman's Library,,Modernist / early 20th century,Modernism,Stream of consciousness,
Madame Bovary,Gustave Flaubert,1857,French,English,Penguin Classics,,Victorian / 19th century,Realism,,
Frédéric Moreau,Gustave Flaubert,1869,French,English,,,Victorian / 19th century,Realism,,Sentimental Education
Purity,Jonathan Franzen,2015,English,English,4th Estate,,Contemporary,Contemporary literary fiction,,
Hard Times,Charles Dickens,1854,English,English,Everyman's Library,,Victorian / 19th century,Realism,,
A Tale of Two Cities,Charles Dickens,1859,English,English,,,Victorian / 19th century,Realism,,
Great Expectations,Charles Dickens,1861,English,English,,,Victorian / 19th century,Realism,,
A Christmas Carol,Charles Dickens,1843,English,English,,,Victorian / 19th century,Realism,,
Dronning Loanas mystiske flamme,Umberto Eco,2004,Italian,Norwegian,Tiden,,Contemporary,Postmodernism,,The Mysterious Flame of Queen Loana
The Name of the Rose,Umberto Eco,1980,Italian,English,Everyman's Library,,Postwar / late 20th century,Postmodernism,Metafiction,
Gravlunden i Praha,Umberto Eco,2010,Italian,Norwegian,Tiden,,Contemporary,Postmodernism,,The Prague Cemetery
Foucaults pendel,Umberto Eco,1988,Italian,Norwegian,Tiden,,Postwar / late 20th century,Postmodernism,,Foucault's Pendulum
Baudolino,Umberto Eco,2000,Italian,Norwegian,Tiden,,Contemporary,Postmodernism,,
Øya fra dagen før,Umberto Eco,1994,Italian,Norwegian,Tiden,,Postwar / late 20th century,Postmodernism,,The Island of the Day Before
Det som tåler dagens lys,Umberto Eco,1998,Italian,Norwegian,Tiden,,Contemporary,,,Essays; title uncertain
Hjemsøkelse,Jenny Erpenbeck,2008,German,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,Visitation
Langs Landeveien Mellom Cottbus og Berlin,Erik Fosnes Hansen,2013,Norwegian,Norwegian,,,Contemporary,Contemporary literary fiction,,
Beretninger om beskyttelse,Erik Fosnes Hansen,1998,Norwegian,Norwegian,Cappelen,,Contemporary,Contemporary literary fiction,,Volume 1
Salme ved reisens slutt,Erik Fosnes Hansen,1990,Norwegian,Norwegian,Cappelen,,Contemporary,Contemporary literary fiction,,
Under the Greenwood Tree,Thomas Hardy,1872,English,English,,,Victorian / 19th century,Realism,Regionalism / local colour,
The Woodlanders,Thomas Hardy,1887,English,English,,,Victorian / 19th century,Realism,Naturalism|Regionalism / local colour,
The Return of the Native,Thomas Hardy,1878,English,English,Everyman's Library,,Victorian / 19th century,Realism,Naturalism|Tragedy,
Jude the Obscure,Thomas Hardy,1895,English,English,Everyman's Library,,Victorian / 19th century,Realism,Naturalism|Tragedy,
Tess of the D'Urbervilles,Thomas Hardy,1891,English,English,,,Victorian / 19th century,Realism,Naturalism|Tragedy,
Far From the Madding Crowd,Thomas Hardy,1874,English,English,,,Victorian / 19th century,Realism,Regionalism / local colour,
The Mayor of Casterbridge,Thomas Hardy,1886,English,English,,,Victorian / 19th century,Realism,Tragedy,
Henrik Falk,Vigdis Hjorth,2019,Norwegian,Norwegian,,,Contemporary,Contemporary literary fiction,,
Pianolærerinnen,Elfriede Jelinek,1983,German,Norwegian,,,Postwar / late 20th century,Contemporary literary fiction,,Norwegian translation of Die Klavierspielerin (The Piano Teacher)
Forklaringen,Gaute Heivoll,2016,Norwegian,Norwegian,,,Contemporary,Contemporary literary fiction,,
Er mor død,Vigdis Hjorth,2020,Norwegian,Norwegian,,,Contemporary,Contemporary literary fiction,,
Før jeg brenner ned,Gaute Heivoll,2010,Norwegian,Norwegian,,,Contemporary,Contemporary literary fiction,,
Kartet og terrenget,Michel Houellebecq,2010,French,Norwegian,,,Contemporary,Contemporary literary fiction,,Norwegian translation of 'La carte et le territoire'
Die Möglichkeit einer Insel,Michel Houellebecq,2005,French,German,DuMont,,Contemporary,Contemporary literary fiction,Science fiction,German translation of 'La possibilité d'une île'
Tilintetgjøre,Michel Houellebecq,2022,French,Norwegian,,,Contemporary,Contemporary literary fiction,,Norwegian translation of 'anéantir'
Serotonin,Michel Houellebecq,2019,French,Norwegian,,,Contemporary,Contemporary literary fiction,,
Unterwerfung,Michel Houellebecq,2015,French,German,DuMont,,Contemporary,Contemporary literary fiction,Dystopian fiction|Satire,German translation of 'Soumission'
Det manglende lyset,Nino Haratischwili,2022,German,Norwegian,Aschehoug,,Contemporary,Contemporary literary fiction,,Norwegian translation of Das mangelnde Licht
Seierherrene,Roy Jacobsen,1991,Norwegian,Norwegian,,,Contemporary,Contemporary literary fiction,,
Det åttende livet (til Brilka),Nino Haratischwili,2014,German,Norwegian,Aschehoug,,Contemporary,Contemporary literary fiction,,Norwegian translation of Das achte Leben (für Brilka)
De usynlige,Roy Jacobsen,2013,Norwegian,Norwegian,,,Contemporary,Contemporary literary fiction,,
A Portrait of the Artist as a Young Man,James Joyce,1916,English,English,Everyman's Library,,Modernist / early 20th century,Modernism,Stream of consciousness,
Ulysses,James Joyce,1922,English,English,Penguin Classics,,Modernist / early 20th century,Modernism,Stream of consciousness,
Dubliners,James Joyce,1914,English,English,Everyman's Library,,Modernist / early 20th century,Modernism,,Short stories
The Iliad,Homer,-762,Ancient Greek,English,Norton,,Classical / Antiquity,Epic poetry,,Translated by Emily Wilson
The Odyssey,Homer,-725,Ancient Greek,English,Norton,,Classical / Antiquity,Epic poetry,,Translated by Emily Wilson
