title,author,first_published,original_language,edition_language,publisher,edition,period,primary_movement,secondary_movements,notes,format
En moderne familie,Helga Flatland,2017,Norwegian,Norwegian,Aschehoug,,Contemporary,Contemporary literary fiction,,,ebook
Et liv forbi,Helga Flatland,2020,Norwegian,Norwegian,Aschehoug,,Contemporary,Contemporary literary fiction,,,ebook
Etterklang,Helga Flatland,2022,Norwegian,Norwegian,Aschehoug,,Contemporary,Contemporary literary fiction,,,ebook
Evas øye,Karin Fossum,1995,Norwegian,Norwegian,Cappelen Damm,,Postwar / late 20th century,Crime fiction,,,ebook
Hendelser ved vann,Kerstin Ekman,1993,Swedish,Norwegian,Aschehoug,,Postwar / late 20th century,Crime fiction,,,ebook
Hvem drepte faren min,Édouard Louis,2018,French,Norwegian,Aschehoug,,Contemporary,Autofiction,,,ebook
Idioten,Fjodor Dostojevskij,1869,Russian,Norwegian,Solum,,Victorian / 19th century,Realism,,,ebook
Jeg plystrer i den mørke vinden,Maria Navarro Skaranger,2023,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,,ebook
Kain,José Saramago,2009,Portuguese,Norwegian,Cappelen Damm,,Contemporary,Magical realism,,,ebook
Kameleonene,Jørgen Jæger,2004,Norwegian,Norwegian,Capitana,,Contemporary,Crime fiction,,,ebook
Kirurgen,Ida Hegazi Høyer,2022,Norwegian,Norwegian,Tiden,,Contemporary,Contemporary literary fiction,,,ebook
Menneske uten hund,Håkan Nesser,2006,Swedish,Norwegian,Gyldendal,,Contemporary,Crime fiction,,,ebook
Nei og atter nei,Nina Lykke,2016,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,,ebook
Norsk sokkel,Heidi Linde,2015,Norwegian,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,,ebook
Når isen brister,Camilla Grebe,2015,Swedish,Norwegian,Gyldendal,,Contemporary,Crime fiction,,,ebook
Rand,Jan Kjærstad,1990,Norwegian,Norwegian,Aschehoug,,Postwar / late 20th century,,,,ebook
Rettsstridig forføyning,Lena Andersson,2013,Swedish,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,,ebook
Sauda! Streik!,Tor Obrestad,1972,Norwegian,Norwegian,Gyldendal,,Postwar / late 20th century,Realism,,,ebook
Se deg ikke tilbake!,Karin Fossum,1996,Norwegian,Norwegian,Cappelen Damm,,Postwar / late 20th century,Crime fiction,,,ebook
Se på meg,Kirsten Hammann,2011,Danish,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,,ebook
Sjakk under vulkanen,Håkan Nesser,2017,Swedish,Norwegian,Gyldendal,,Contemporary,Crime fiction,,,ebook
Skjebnesteinen,Sven Petter Næss,2020,Norwegian,Norwegian,Aschehoug,,Contemporary,Crime fiction,,,ebook
Skyggejakten,Jørgen Jæger,2003,Norwegian,Norwegian,Capitana,,Contemporary,Crime fiction,,,ebook
Sneen var ren,Hans Olav Lahlum,2021,Norwegian,Norwegian,Cappelen Damm,,Contemporary,Crime fiction,,,ebook
Spilleren,Fjodor Dostojevskij,1866,Russian,Norwegian,Solum,,Victorian / 19th century,Realism,,,ebook
Stoner,John Williams,1965,English,Norwegian,Cappelen Damm,,Postwar / late 20th century,Realism,,,ebook
Søskenmysteriene,Hans Olav Lahlum,2022,Norwegian,Norwegian,Cappelen Damm,,Contemporary,Crime fiction,,,ebook
Søsterklokkene,Lars Mytting,2018,Norwegian,Norwegian,Gyldendal,,Contemporary,Contemporary literary fiction,,,ebook
Terapeuten,Helene Flood,2019,Norwegian,Norwegian,Aschehoug,,Contemporary,Crime fiction,,,ebook
Trilogien,Jon Fosse,2014,Norwegian,Norwegian,Samlaget,,Contemporary,Contemporary literary fiction,,,ebook
Ut og stjæle hester,Per Petterson,2003,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,,ebook
Vingebelastning,Helga Flatland,2015,Norwegian,Norwegian,Aschehoug,,Contemporary,Contemporary literary fiction,,,ebook
Vinterild,Anders de la Motte,2018,Swedish,Norwegian,Aschehoug,,Contemporary,Crime fiction,,,ebook
Voksne mennesker,Marie Aubert,2019,Norwegian,Norwegian,Forlaget Oktober,,Contemporary,Contemporary literary fiction,,,ebook
Våroffer,Anders de la Motte,2020,Swedish,Norwegian,Aschehoug,,Contemporary,Crime fiction,,,ebook
Årene,Annie Ernaux,2008,French,Norwegian,Gyldendal,,Contemporary,Autofiction,,,ebook
