Title	Author	Year	Movement	Rank	Other Movements
Pensées	Blaise Pascal	1670	Neoclassicism / Augustan	34	
Moll Flanders	Daniel Defoe	1722	Neoclassicism / Augustan	35	
The Life of Samuel Johnson	James Boswell	1791	Neoclassicism / Augustan	36	
The Vicar of Wakefield	Oliver Goldsmith	1766	Neoclassicism / Augustan	37	
She Stoops to Conquer	Oliver Goldsmith	1773	Neoclassicism / Augustan	38	
The School for Scandal	Richard Brinsley Sheridan	1777	Neoclassicism / Augustan	39	
The Rivals	Richard Brinsley Sheridan	1775	Neoclassicism / Augustan	40	
Elegy Written in a Country Churchyard	Thomas Gray	1751	Neoclassicism / Augustan	41	
The Seasons	James Thomson	1730	Neoclassicism / Augustan	42	
Tristram Shandy	Laurence Sterne	1759	Neoclassicism / Augustan	43	
Les Caractères	Jean de La Bruyère	1688	Neoclassicism / Augustan	44	
Bérénice	Jean Racine	1670	Neoclassicism / Augustan	45	
Alexander's Feast	John Dryden	1697	Neoclassicism / Augustan	46	
The Beaux' Stratagem	George Farquhar	1707	Neoclassicism / Augustan	47	
Letters Concerning the English Nation	Voltaire	1733	Neoclassicism / Augustan	48	
The Castle of Indolence	James Thomson	1748	Neoclassicism / Augustan	49	
Cato, a Tragedy	Joseph Addison	1713	Neoclassicism / Augustan	50	
Lyrical Ballads	William Wordsworth and Samuel Taylor Coleridge	1798	Romanticism	1	
Faust, Part One	Johann Wolfgang von Goethe	1808	Romanticism	2	
The Rime of the Ancient Mariner	Samuel Taylor Coleridge	1798	Romanticism	3	
Odes	John Keats	1819	Romanticism	4	
The Prelude	William Wordsworth	1850	Romanticism	5	
Songs of Innocence and of Experience	William Blake	1794	Romanticism	6	
Prometheus Unbound	Percy Bysshe Shelley	1820	Romanticism	7	
Don Juan	Lord Byron	1819	Romanticism	8	
Childe Harold's Pilgrimage	Lord Byron	1812	Romanticism	9	
Faust, Part Two	Johann Wolfgang von Goethe	1832	Romanticism	10	
Notre-Dame de Paris	Victor Hugo	1831	Romanticism	11	
Hernani	Victor Hugo	1830	Romanticism	12	
Hymns to the Night	Novalis	1800	Romanticism	14	
Kubla Khan	Samuel Taylor Coleridge	1816	Romanticism	15	
Méditations poétiques	Alphonse de Lamartine	1820	Romanticism	16	
The Sorrows of Young Werther	Johann Wolfgang von Goethe	1774	Romanticism	17	Sturm und Drang
Hyperion	Friedrich Hölderlin	1799	Romanticism	18	
Ode: Intimations of Immortality	William Wordsworth	1807	Romanticism	19	
The Eve of St. Agnes	John Keats	1820	Romanticism	20	
Ode to the West Wind	Percy Bysshe Shelley	1820	Romanticism	21	
Adonais	Percy Bysshe Shelley	1821	Romanticism	22	
René	Chateaubriand	1802	Romanticism	23	
Heinrich von Ofterdingen	Novalis	1802	Romanticism	24	
The Marriage of Heaven and Hell	William Blake	1790	Romanticism	25	
Biographia Literaria	Samuel Taylor Coleridge	1817	Romanticism	26	
A Defence of Poetry	Percy Bysshe Shelley	1840	Romanticism	27	
Eugene Onegin	Alexander Pushkin	1833	Romanticism	28	Realism
The Corsair	Lord Byron	1814	Romanticism	29	
Les Nuits	Alfred de Musset	1835	Romanticism	30	
Atala	Chateaubriand	1801	Romanticism	31	
Ivanhoe	Walter Scott	1819	Romanticism	32	
Waverley	Walter Scott	1814	Romanticism	33	
Endymion	John Keats	1818	Romanticism	34	
Athenaeum Fragments	Friedrich Schlegel	1798	Romanticism	35	
Ozymandias	Percy Bysshe Shelley	1818	Romanticism	36	
Confessions of an English Opium-Eater	Thomas De Quincey	1821	Romanticism	37	
Odes et Ballades	Victor Hugo	1826	Romanticism	38	
Undine	Friedrich de la Motte Fouqué	1811	Romanticism	39	
Michael Kohlhaas	Heinrich von Kleist	1810	Romanticism	40	
The Marquise of O	Heinrich von Kleist	1808	Romanticism	41	
Hebrew Melodies	Lord Byron	1815	Romanticism	42	
Manfred	Lord Byron	1817	Romanticism	43	Gothic
Lamia, Isabella, and Other Poems	John Keats	1820	Romanticism	44	
The Cenci	Percy Bysshe Shelley	1819	Romanticism	45	
Sartor Resartus	Thomas Carlyle	1836	Romanticism	46	
The Book of Songs	Heinrich Heine	1827	Romanticism	47	
Genius of Christianity	Chateaubriand	1802	Romanticism	48	
Aids to Reflection	Samuel Taylor Coleridge	1825	Romanticism	49	
Queen Mab	Percy Bysshe Shelley	1813	Romanticism	50	
Madame Bovary	Gustave Flaubert	1857	Realism	1	
War and Peace	Leo Tolstoy	1869	Realism	2	
Anna Karenina	Leo Tolstoy	1877	Realism	3	
Crime and Punishment	Fyodor Dostoevsky	1866	Realism	4	
The Brothers Karamazov	Fyodor Dostoevsky	1880	Realism	5	Existentialism
Middlemarch	George Eliot	1871	Realism	6	
Père Goriot	Honoré de Balzac	1835	Realism	7	
The Red and the Black	Stendhal	1830	Realism	8	
Great Expectations	Charles Dickens	1861	Realism	9	
Fathers and Sons	Ivan Turgenev	1862	Realism	10	
The Idiot	Fyodor Dostoevsky	1869	Realism	11	
Dead Souls	Nikolai Gogol	1842	Realism	12	
The Adventures of Huckleberry Finn	Mark Twain	1884	Realism	13	
The Portrait of a Lady	Henry James	1881	Realism	14	
Bleak House	Charles Dickens	1853	Realism	15	
Eugénie Grandet	Honoré de Balzac	1833	Realism	16	
Tess of the d'Urbervilles	Thomas Hardy	1891	Realism	17	
Demons	Fyodor Dostoevsky	1872	Realism	18	
The Charterhouse of Parma	Stendhal	1839	Realism	19	
Sentimental Education	Gustave Flaubert	1869	Realism	20	
The Death of Ivan Ilyich	Leo Tolstoy	1886	Realism	21	
The Cherry Orchard	Anton Chekhov	1904	Realism	22	Modernism
Three Sisters	Anton Chekhov	1901	Realism	23	
The Seagull	Anton Chekhov	1896	Realism	24	
The Mayor of Casterbridge	Thomas Hardy	1886	Realism	26	
Barchester Towers	Anthony Trollope	1857	Realism	27	
David Copperfield	Charles Dickens	1850	Realism	28	
Jane Eyre	Charlotte Brontë	1847	Realism	30	Gothic
The Rise of Silas Lapham	William Dean Howells	1885	Realism	31	
The Overcoat	Nikolai Gogol	1842	Realism	32	
Oblomov	Ivan Goncharov	1859	Realism	33	
A Sportsman's Sketches	Ivan Turgenev	1852	Realism	34	
Lost Illusions	Honoré de Balzac	1843	Realism	35	
Cousin Bette	Honoré de Balzac	1846	Realism	36	
The Ambassadors	Henry James	1903	Realism	37	
The Warden	Anthony Trollope	1855	Realism	38	
Silas Marner	George Eliot	1861	Realism	39	
The Mill on the Floss	George Eliot	1860	Realism	40	
Vanity Fair	William Makepeace Thackeray	1848	Realism	41	
Our Mutual Friend	Charles Dickens	1865	Realism	42	
Effi Briest	Theodor Fontane	1895	Realism	43	
Jude the Obscure	Thomas Hardy	1895	Realism	44	
A Hero of Our Time	Mikhail Lermontov	1840	Realism	45	Romanticism
Fortunata and Jacinta	Benito Pérez Galdós	1887	Realism	48	
The House of the Dead	Fyodor Dostoevsky	1862	Realism	49	
Hedda Gabler	Henrik Ibsen	1890	Realism	50	
Germinal	Émile Zola	1885	Naturalism	1	
L'Assommoir	Émile Zola	1877	Naturalism	2	
Nana	Émile Zola	1880	Naturalism	3	Realism
Thérèse Raquin	Émile Zola	1867	Naturalism	4	
The Experimental Novel	Émile Zola	1880	Naturalism	5	
McTeague	Frank Norris	1899	Naturalism	6	
Sister Carrie	Theodore Dreiser	1900	Naturalism	7	
The Red Badge of Courage	Stephen Crane	1895	Naturalism	8	Realism
Maggie: A Girl of the Streets	Stephen Crane	1893	Naturalism	9	
La Bête humaine	Émile Zola	1890	Naturalism	10	
The Earth	Émile Zola	1887	Naturalism	11	
Bel-Ami	Guy de Maupassant	1885	Naturalism	12	Realism
Boule de Suif	Guy de Maupassant	1880	Naturalism	13	
Pierre and Jean	Guy de Maupassant	1888	Naturalism	14	
The Kill	Émile Zola	1872	Naturalism	15	
The Octopus	Frank Norris	1901	Naturalism	16	
The Open Boat	Stephen Crane	1897	Naturalism	17	
The Call of the Wild	Jack London	1903	Naturalism	18	
The Sea-Wolf	Jack London	1904	Naturalism	19	
An American Tragedy	Theodore Dreiser	1925	Naturalism	20	
Une Vie	Guy de Maupassant	1883	Naturalism	21	
The Awakening	Kate Chopin	1899	Naturalism	22	
The House of Mirth	Edith Wharton	1905	Naturalism	23	
The Damnation of Theron Ware	Harold Frederic	1896	Naturalism	24	
The Pit	Frank Norris	1903	Naturalism	25	
Les Fleurs du mal	Charles Baudelaire	1857	Symbolism	1	Aestheticism / Decadence
A Season in Hell	Arthur Rimbaud	1873	Symbolism	2	
Illuminations	Arthur Rimbaud	1886	Symbolism	3	
L'Après-midi d'un faune	Stéphane Mallarmé	1876	Symbolism	4	
Romances sans paroles	Paul Verlaine	1874	Symbolism	5	
Un coup de dés	Stéphane Mallarmé	1897	Symbolism	6	
Petits poèmes en prose	Charles Baudelaire	1869	Symbolism	7	
Poèmes saturniens	Paul Verlaine	1866	Symbolism	8	
Jadis et naguère	Paul Verlaine	1884	Symbolism	9	
Symbolist Manifesto	Jean Moréas	1886	Symbolism	10	
Axël	Villiers de l'Isle-Adam	1890	Symbolism	11	
The Symbolist Movement in Literature	Arthur Symons	1899	Symbolism	12	
Les Complaintes	Jules Laforgue	1885	Symbolism	13	
The Blue Bird	Maurice Maeterlinck	1908	Symbolism	14	
Pelléas et Mélisande	Maurice Maeterlinck	1893	Symbolism	15	
Les Amours jaunes	Tristan Corbière	1873	Symbolism	16	
Sagesse	Paul Verlaine	1880	Symbolism	17	
Hérodiade	Stéphane Mallarmé	1871	Symbolism	18	
Cruel Tales	Villiers de l'Isle-Adam	1883	Symbolism	19	
Les Chants de Maldoror	Comte de Lautréamont	1869	Symbolism	20	Surrealism
The Wind Among the Reeds	W. B. Yeats	1899	Symbolism	21	Modernism
Serres chaudes	Maurice Maeterlinck	1889	Symbolism	23	
The Book of Monelle	Marcel Schwob	1894	Symbolism	24	
Les Villes tentaculaires	Émile Verhaeren	1895	Symbolism	25	
Ulysses	James Joyce	1922	Modernism	1	
The Waste Land	T. S. Eliot	1922	Modernism	2	
In Search of Lost Time	Marcel Proust	1913	Modernism	3	
Mrs Dalloway	Virginia Woolf	1925	Modernism	4	
To the Lighthouse	Virginia Woolf	1927	Modernism	5	
The Sound and the Fury	William Faulkner	1929	Modernism	6	
The Trial	Franz Kafka	1925	Modernism	7	Expressionism
The Metamorphosis	Franz Kafka	1915	Modernism	8	Expressionism
The Love Song of J. Alfred Prufrock	T. S. Eliot	1915	Modernism	9	
Heart of Darkness	Joseph Conrad	1899	Modernism	10	
A Portrait of the Artist as a Young Man	James Joyce	1916	Modernism	11	
The Great Gatsby	F. Scott Fitzgerald	1925	Modernism	12	
The Sun Also Rises	Ernest Hemingway	1926	Modernism	13	
The Magic Mountain	Thomas Mann	1924	Modernism	14	
Absalom, Absalom!	William Faulkner	1936	Modernism	15	
The Castle	Franz Kafka	1926	Modernism	16	Expressionism
Finnegans Wake	James Joyce	1939	Modernism	17	
Death in Venice	Thomas Mann	1912	Modernism	18	
The Waves	Virginia Woolf	1931	Modernism	19	
Duino Elegies	Rainer Maria Rilke	1923	Modernism	20	
As I Lay Dying	William Faulkner	1930	Modernism	21	
The Cantos	Ezra Pound	1925	Modernism	22	
Nightwood	Djuna Barnes	1936	Modernism	23	
Light in August	William Faulkner	1932	Modernism	24	
U.S.A. Trilogy	John Dos Passos	1936	Modernism	25	
A Farewell to Arms	Ernest Hemingway	1929	Modernism	26	
The Good Soldier	Ford Madox Ford	1915	Modernism	27	
Sons and Lovers	D. H. Lawrence	1913	Modernism	28	
Women in Love	D. H. Lawrence	1920	Modernism	29	
Four Quartets	T. S. Eliot	1943	Modernism	30	
The Tower	W. B. Yeats	1928	Modernism	31	Symbolism
Harmonium	Wallace Stevens	1923	Modernism	32	
Spring and All	William Carlos Williams	1923	Modernism	33	
Jacob's Room	Virginia Woolf	1922	Modernism	34	
Orlando	Virginia Woolf	1928	Modernism	35	
Berlin Alexanderplatz	Alfred Döblin	1929	Modernism	36	Expressionism
The Man Without Qualities	Robert Musil	1930	Modernism	37	
Manhattan Transfer	John Dos Passos	1925	Modernism	38	
Tender Is the Night	F. Scott Fitzgerald	1934	Modernism	39	
Lord Jim	Joseph Conrad	1900	Modernism	40	
The Notebooks of Malte Laurids Brigge	Rainer Maria Rilke	1910	Modernism	43	
The Age of Innocence	Edith Wharton	1920	Modernism	44	
A Room of One's Own	Virginia Woolf	1929	Modernism	45	
Pilgrimage	Dorothy Richardson	1915	Modernism	46	
The Judgment	Franz Kafka	1913	Modernism	47	Expressionism
The Bridge	Hart Crane	1930	Modernism	48	
In the Penal Colony	Franz Kafka	1919	Modernism	49	Expressionism
Journey to the End of the Night	Louis-Ferdinand Céline	1932	Modernism	50	
Manifesto of Surrealism	André Breton	1924	Surrealism	1	
Nadja	André Breton	1928	Surrealism	2	
Les Champs magnétiques	André Breton and Philippe Soupault	1920	Surrealism	3	
Capitale de la douleur	Paul Éluard	1926	Surrealism	4	
Le Paysan de Paris	Louis Aragon	1926	Surrealism	5	
Second Manifesto of Surrealism	André Breton	1930	Surrealism	6	
Mad Love	André Breton	1937	Surrealism	8	
Corps et biens	Robert Desnos	1930	Surrealism	9	
Le Grand Jeu	Benjamin Péret	1928	Surrealism	10	
La Liberté ou l'amour!	Robert Desnos	1927	Surrealism	11	
Une Semaine de bonté	Max Ernst	1934	Surrealism	12	
The Immaculate Conception	André Breton and Paul Éluard	1930	Surrealism	13	
Arcane 17	André Breton	1944	Surrealism	14	
Alcools	Guillaume Apollinaire	1913	Surrealism	15	
Calligrammes	Guillaume Apollinaire	1918	Surrealism	16	
The Breasts of Tiresias	Guillaume Apollinaire	1917	Surrealism	17	
A Wave of Dreams	Louis Aragon	1924	Surrealism	18	
Anthology of Black Humour	André Breton	1940	Surrealism	19	
L'Union libre	André Breton	1931	Surrealism	20	
Nausea	Jean-Paul Sartre	1938	Existentialism	1	
The Stranger	Albert Camus	1942	Existentialism	2	
The Myth of Sisyphus	Albert Camus	1942	Existentialism	3	
Being and Nothingness	Jean-Paul Sartre	1943	Existentialism	4	
No Exit	Jean-Paul Sartre	1944	Existentialism	5	
The Plague	Albert Camus	1947	Existentialism	6	
Notes from Underground	Fyodor Dostoevsky	1864	Existentialism	7	Realism
The Second Sex	Simone de Beauvoir	1949	Existentialism	8	
Existentialism Is a Humanism	Jean-Paul Sartre	1946	Existentialism	9	
The Ethics of Ambiguity	Simone de Beauvoir	1947	Existentialism	10	
The Rebel	Albert Camus	1951	Existentialism	11	
The Fall	Albert Camus	1956	Existentialism	12	
The Flies	Jean-Paul Sartre	1943	Existentialism	13	
The Wall	Jean-Paul Sartre	1939	Existentialism	14	
The Mandarins	Simone de Beauvoir	1954	Existentialism	15	
The Roads to Freedom	Jean-Paul Sartre	1945	Existentialism	17	
She Came to Stay	Simone de Beauvoir	1943	Existentialism	18	
Dirty Hands	Jean-Paul Sartre	1948	Existentialism	19	
Fear and Trembling	Søren Kierkegaard	1843	Existentialism	20	
Thus Spoke Zarathustra	Friedrich Nietzsche	1883	Existentialism	21	
Steppenwolf	Hermann Hesse	1927	Existentialism	22	
The Blood of Others	Simone de Beauvoir	1945	Existentialism	23	
Man's Search for Meaning	Viktor Frankl	1946	Existentialism	24	
Gravity's Rainbow	Thomas Pynchon	1973	Postmodernism	1	
Pale Fire	Vladimir Nabokov	1962	Postmodernism	3	
Ficciones	Jorge Luis Borges	1944	Postmodernism	4	Modernism, Magical realism
Catch-22	Joseph Heller	1961	Postmodernism	5	
The Crying of Lot 49	Thomas Pynchon	1966	Postmodernism	6	
Slaughterhouse-Five	Kurt Vonnegut	1969	Postmodernism	7	
If on a winter's night a traveler	Italo Calvino	1979	Postmodernism	10	
White Noise	Don DeLillo	1985	Postmodernism	11	
Lolita	Vladimir Nabokov	1955	Postmodernism	13	
The Name of the Rose	Umberto Eco	1980	Postmodernism	14	
V.	Thomas Pynchon	1963	Postmodernism	16	
The New York Trilogy	Paul Auster	1986	Postmodernism	17	
Cat's Cradle	Kurt Vonnegut	1963	Postmodernism	18	
Blood Meridian	Cormac McCarthy	1985	Postmodernism	19	
The Recognitions	William Gaddis	1955	Postmodernism	20	
Lost in the Funhouse	John Barth	1968	Postmodernism	21	
The French Lieutenant's Woman	John Fowles	1969	Postmodernism	22	
Foucault's Pendulum	Umberto Eco	1988	Postmodernism	23	
House of Leaves	Mark Z. Danielewski	2000	Postmodernism	24	
American Psycho	Bret Easton Ellis	1991	Postmodernism	25	
Labyrinths	Jorge Luis Borges	1962	Postmodernism	26	Magical realism
The Sot-Weed Factor	John Barth	1960	Postmodernism	27	
Underworld	Don DeLillo	1997	Postmodernism	28	
The Public Burning	Robert Coover	1977	Postmodernism	29	
Mason & Dixon	Thomas Pynchon	1997	Postmodernism	30	
Possession	A. S. Byatt	1990	Postmodernism	31	
The Handmaid's Tale	Margaret Atwood	1985	Postmodernism	32	
Snow White	Donald Barthelme	1967	Postmodernism	33	
JR	William Gaddis	1975	Postmodernism	34	
Libra	Don DeLillo	1988	Postmodernism	35	
The Book of Laughter and Forgetting	Milan Kundera	1979	Postmodernism	37	
The Unbearable Lightness of Being	Milan Kundera	1984	Postmodernism	38	
Money	Martin Amis	1984	Postmodernism	39	
Breakfast of Champions	Kurt Vonnegut	1973	Postmodernism	40	
A Clockwork Orange	Anthony Burgess	1962	Postmodernism	41	
The Atrocity Exhibition	J. G. Ballard	1970	Postmodernism	42	
Giles Goat-Boy	John Barth	1966	Postmodernism	43	
The Literature of Exhaustion	John Barth	1967	Postmodernism	44	
Cosmicomics	Italo Calvino	1965	Postmodernism	45	
Invisible Cities	Italo Calvino	1972	Postmodernism	46	
In Cold Blood	Truman Capote	1966	Postmodernism	47	
The Tunnel	William Gass	1995	Postmodernism	49	
Trout Fishing in America	Richard Brautigan	1967	Postmodernism	50	
Things Fall Apart	Chinua Achebe	1958	Postcolonial literature	1	
Midnight's Children	Salman Rushdie	1981	Postcolonial literature	2	Magical realism, Postmodernism
Wide Sargasso Sea	Jean Rhys	1966	Postcolonial literature	3	Postmodernism
Season of Migration to the North	Tayeb Salih	1966	Postcolonial literature	4	
The God of Small Things	Arundhati Roy	1997	Postcolonial literature	5	
Orientalism	Edward Said	1978	Postcolonial literature	6	
Notebook of a Return to the Native Land	Aimé Césaire	1939	Postcolonial literature	7	Négritude
Discourse on Colonialism	Aimé Césaire	1950	Postcolonial literature	8	
The Wretched of the Earth	Frantz Fanon	1961	Postcolonial literature	9	
Black Skin, White Masks	Frantz Fanon	1952	Postcolonial literature	10	
A House for Mr Biswas	V. S. Naipaul	1961	Postcolonial literature	11	
Petals of Blood	Ngũgĩ wa Thiong'o	1977	Postcolonial literature	13	
Weep Not, Child	Ngũgĩ wa Thiong'o	1964	Postcolonial literature	14	
The Satanic Verses	Salman Rushdie	1988	Postcolonial literature	15	
Nervous Conditions	Tsitsi Dangarembga	1988	Postcolonial literature	16	
White Teeth	Zadie Smith	2000	Postcolonial literature	17	
Waiting for the Barbarians	J. M. Coetzee	1980	Postcolonial literature	18	
Disgrace	J. M. Coetzee	1999	Postcolonial literature	19	
Omeros	Derek Walcott	1990	Postcolonial literature	20	
The Buddha of Suburbia	Hanif Kureishi	1990	Postcolonial literature	21	
A Bend in the River	V. S. Naipaul	1979	Postcolonial literature	22	
Decolonising the Mind	Ngũgĩ wa Thiong'o	1986	Postcolonial literature	23	
The English Patient	Michael Ondaatje	1992	Postcolonial literature	24	
In the Castle of My Skin	George Lamming	1953	Postcolonial literature	25	
July's People	Nadine Gordimer	1981	Postcolonial literature	26	
So Long a Letter	Mariama Bâ	1979	Postcolonial literature	28	
Burger's Daughter	Nadine Gordimer	1979	Postcolonial literature	29	
Can the Subaltern Speak?	Gayatri Chakravorty Spivak	1988	Postcolonial literature	30	
The Location of Culture	Homi K. Bhabha	1994	Postcolonial literature	31	
Kim	Rudyard Kipling	1901	Postcolonial literature	32	
A Passage to India	E. M. Forster	1924	Postcolonial literature	33	
Palace of the Peacock	Wilson Harris	1960	Postcolonial literature	34	
The Mimic Men	V. S. Naipaul	1967	Postcolonial literature	35	
Untouchable	Mulk Raj Anand	1935	Postcolonial literature	36	
The Grass Is Singing	Doris Lessing	1950	Postcolonial literature	37	
Half of a Yellow Sun	Chimamanda Ngozi Adichie	2006	Postcolonial literature	38	
Purple Hibiscus	Chimamanda Ngozi Adichie	2003	Postcolonial literature	39	
Small Island	Andrea Levy	2004	Postcolonial literature	40	
Brick Lane	Monica Ali	2003	Postcolonial literature	41	
The Lonely Londoners	Sam Selvon	1956	Postcolonial literature	42	
The Interpreters	Wole Soyinka	1965	Postcolonial literature	43	
Death and the King's Horseman	Wole Soyinka	1975	Postcolonial literature	44	
Texaco	Patrick Chamoiseau	1992	Postcolonial literature	45	
The Shadow Lines	Amitav Ghosh	1988	Postcolonial literature	46	
Efuru	Flora Nwapa	1966	Postcolonial literature	47	
Anthills of the Savannah	Chinua Achebe	1987	Postcolonial literature	48	
The Reluctant Fundamentalist	Mohsin Hamid	2007	Postcolonial literature	49	
Cracking India	Bapsi Sidhwa	1988	Postcolonial literature	50	
The Castle of Otranto	Horace Walpole	1764	Gothic	1	
Frankenstein	Mary Shelley	1818	Gothic	2	Romanticism
The Mysteries of Udolpho	Ann Radcliffe	1794	Gothic	3	
The Monk	Matthew Lewis	1796	Gothic	4	
Melmoth the Wanderer	Charles Maturin	1820	Gothic	5	
Vathek	William Beckford	1786	Gothic	6	
The Italian	Ann Radcliffe	1797	Gothic	7	
Northanger Abbey	Jane Austen	1817	Gothic	8	
Caleb Williams	William Godwin	1794	Gothic	9	
The Fall of the House of Usher	Edgar Allan Poe	1839	Gothic	10	Dark Romanticism
A Sicilian Romance	Ann Radcliffe	1790	Gothic	11	
The Old English Baron	Clara Reeve	1778	Gothic	12	
The Private Memoirs and Confessions of a Justified Sinner	James Hogg	1824	Gothic	13	
Zofloya	Charlotte Dacre	1806	Gothic	14	
The Romance of the Forest	Ann Radcliffe	1791	Gothic	15	
Christabel	Samuel Taylor Coleridge	1816	Gothic	16	Romanticism
St. Leon	William Godwin	1799	Gothic	17	
The Tell-Tale Heart	Edgar Allan Poe	1843	Gothic	19	Dark Romanticism
The Castle Spectre	Matthew Lewis	1797	Gothic	20	
Nature	Ralph Waldo Emerson	1836	Transcendentalism	1	
Walden	Henry David Thoreau	1854	Transcendentalism	2	
Self-Reliance	Ralph Waldo Emerson	1841	Transcendentalism	3	
Civil Disobedience	Henry David Thoreau	1849	Transcendentalism	4	
The American Scholar	Ralph Waldo Emerson	1837	Transcendentalism	5	
Essays: First Series	Ralph Waldo Emerson	1841	Transcendentalism	6	
Woman in the Nineteenth Century	Margaret Fuller	1845	Transcendentalism	7	
The Divinity School Address	Ralph Waldo Emerson	1838	Transcendentalism	8	
Essays: Second Series	Ralph Waldo Emerson	1844	Transcendentalism	9	
A Week on the Concord and Merrimack Rivers	Henry David Thoreau	1849	Transcendentalism	10	
The Over-Soul	Ralph Waldo Emerson	1841	Transcendentalism	11	
The Poet	Ralph Waldo Emerson	1844	Transcendentalism	12	
Representative Men	Ralph Waldo Emerson	1850	Transcendentalism	13	
The Dial	Margaret Fuller and Ralph Waldo Emerson	1840	Transcendentalism	14	
Leaves of Grass	Walt Whitman	1855	Transcendentalism	15	Romanticism
The Picture of Dorian Gray	Oscar Wilde	1890	Aestheticism / Decadence	1	Gothic
Á rebours	Joris-Karl Huysmans	1884	Aestheticism / Decadence	2	Symbolism
Studies in the History of the Renaissance	Walter Pater	1873	Aestheticism / Decadence	3	
Salomé	Oscar Wilde	1891	Aestheticism / Decadence	4	Symbolism
Poems and Ballads	Algernon Charles Swinburne	1866	Aestheticism / Decadence	5	
The Importance of Being Earnest	Oscar Wilde	1895	Aestheticism / Decadence	6	
Marius the Epicurean	Walter Pater	1885	Aestheticism / Decadence	7	
The Decadent Movement in Literature	Arthur Symons	1893	Aestheticism / Decadence	8	
The Yellow Book	Henry Harland and Aubrey Beardsley	1894	Aestheticism / Decadence	9	
Intentions	Oscar Wilde	1891	Aestheticism / Decadence	10	
Verses	Ernest Dowson	1896	Aestheticism / Decadence	11	
The Savoy	Arthur Symons	1896	Aestheticism / Decadence	12	
Là-bas	Joris-Karl Huysmans	1891	Aestheticism / Decadence	13	
The Sphinx	Oscar Wilde	1894	Aestheticism / Decadence	14	
The Ballad of Reading Gaol	Oscar Wilde	1898	Aestheticism / Decadence	15	
Des Imagistes	Ezra Pound	1914	Imagism	1	
In a Station of the Metro	Ezra Pound	1913	Imagism	2	
Some Imagist Poets	Amy Lowell	1915	Imagism	3	
Sea Garden	H.D.	1916	Imagism	4	Modernism
A Few Don'ts by an Imagiste	Ezra Pound and F. S. Flint	1913	Imagism	5	
Ripostes	Ezra Pound	1912	Imagism	6	
Oread	H.D.	1914	Imagism	7	
Images	Richard Aldington	1915	Imagism	8	
Lustra	Ezra Pound	1916	Imagism	9	
Tendencies in Modern American Poetry	Amy Lowell	1917	Imagism	10	
Men, Women and Ghosts	Amy Lowell	1916	Imagism	11	
The Complete Poetical Works of T. E. Hulme	T. E. Hulme	1912	Imagism	12	
Menschheitsdämmerung	Kurt Pinthus	1919	Expressionism	3	
From Morning to Midnight	Georg Kaiser	1912	Expressionism	4	
The Beggar	Reinhard Sorge	1912	Expressionism	5	
Transfiguration	Ernst Toller	1919	Expressionism	6	
The Gas Trilogy	Georg Kaiser	1917	Expressionism	7	
Man and the Masses	Ernst Toller	1920	Expressionism	8	
